qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
14	BM25	0.495377	0.000000	0.486568	0.000000	0.113030	0.000000	0.229631	0.000000	0.130714	0.000000
14	DeepSeek-RRF	0.579714	0.084337	0.524742	0.038174	0.109523	-0.003508	0.258052	0.028421	0.151198	0.020484
14	MiniLM-o4	0.611348	0.115971	0.541833	0.055265	0.105354	-0.007676	0.258052	0.028421	0.155107	0.024393
14	BGE-o1	0.633511	0.138134	0.580427	0.093859	0.087307	-0.025724	0.258052	0.028421	0.137680	0.006965
14	BGE-o2	0.657547	0.162170	0.542539	0.055971	0.098423	-0.014607	0.258052	0.028421	0.155247	0.024533
14	BGE-o4	0.613337	0.117960	0.527045	0.040477	0.105354	-0.007676	0.258052	0.028421	0.157638	0.026924
14	BGE-o8	0.576660	0.081283	0.522807	0.036239	0.108117	-0.004914	0.258052	0.028421	0.155165	0.024451
31	BM25	0.799128	0.000000	0.797335	0.000000	0.098035	0.000000	0.267411	0.000000	0.189087	0.000000
31	DeepSeek-RRF	0.761820	-0.037309	0.804130	0.006795	0.096420	-0.001615	0.274339	0.006927	0.204944	0.015857
31	MiniLM-o4	0.756002	-0.043126	0.801258	0.003923	0.090855	-0.007180	0.274339	0.006927	0.205861	0.016775
31	BGE-o1	0.756491	-0.042637	0.762204	-0.035131	0.074694	-0.023341	0.274339	0.006927	0.182491	-0.006596
31	BGE-o2	0.814129	0.015000	0.829430	0.032096	0.086544	-0.011490	0.274339	0.006927	0.200807	0.011720
31	BGE-o4	0.779966	-0.019163	0.823162	0.025827	0.092830	-0.005205	0.274339	0.006927	0.207822	0.018735
31	BGE-o8	0.764871	-0.034257	0.805837	0.008502	0.094805	-0.003229	0.274339	0.006927	0.207735	0.018648
37	BM25	0.589782	0.000000	0.503073	0.000000	0.096443	0.000000	0.156366	0.000000	0.100911	0.000000
37	DeepSeek-RRF	0.640068	0.050285	0.551779	0.048706	0.091145	-0.005298	0.178100	0.021734	0.111319	0.010408
37	MiniLM-o4	0.633751	0.043969	0.548996	0.045923	0.087458	-0.008984	0.178100	0.021734	0.117355	0.016444
37	BGE-o1	0.669683	0.079901	0.535619	0.032546	0.062494	-0.033949	0.178100	0.021734	0.091806	-0.009106
37	BGE-o2	0.660619	0.070836	0.590498	0.087425	0.080397	-0.016046	0.178100	0.021734	0.111265	0.010353
37	BGE-o4	0.658247	0.068464	0.554368	0.051295	0.088898	-0.007544	0.178100	0.021734	0.114629	0.013718
37	BGE-o8	0.664059	0.074277	0.556928	0.053854	0.092591	-0.003852	0.178100	0.021734	0.113326	0.012414
58	BM25	0.632219	0.000000	0.636807	0.000000	0.154090	0.000000	0.391017	0.000000	0.237195	0.000000
58	DeepSeek-RRF	0.700503	0.068285	0.653091	0.016284	0.145044	-0.009046	0.378913	-0.012104	0.237700	0.000505
58	MiniLM-o4	0.739107	0.106888	0.720530	0.083723	0.143270	-0.010820	0.378913	-0.012104	0.249976	0.012782
58	BGE-o1	0.724242	0.092024	0.641524	0.004717	0.109658	-0.044432	0.378913	-0.012104	0.211271	-0.025923
58	BGE-o2	0.697980	0.065761	0.697879	0.061072	0.134214	-0.019876	0.378913	-0.012104	0.236702	-0.000493
58	BGE-o4	0.695116	0.062898	0.701609	0.064802	0.140517	-0.013573	0.378913	-0.012104	0.242831	0.005636
58	BGE-o8	0.731650	0.099431	0.666532	0.029725	0.144398	-0.009692	0.378913	-0.012104	0.242023	0.004828
72	BM25	0.517293	0.000000	0.528993	0.000000	0.094620	0.000000	0.273391	0.000000	0.178772	0.000000
72	DeepSeek-RRF	0.576336	0.059043	0.565311	0.036318	0.092068	-0.002552	0.289962	0.016571	0.202217	0.023445
72	MiniLM-o4	0.587284	0.069992	0.583566	0.054573	0.090070	-0.004550	0.289962	0.016571	0.203570	0.024798
72	BGE-o1	0.738892	0.221599	0.583388	0.054395	0.066730	-0.027890	0.289962	0.016571	0.166767	-0.012004
72	BGE-o2	0.651320	0.134028	0.652932	0.123940	0.077753	-0.016867	0.289962	0.016571	0.189009	0.010238
72	BGE-o4	0.606223	0.088930	0.611233	0.082240	0.085409	-0.009210	0.289962	0.016571	0.198879	0.020108
72	BGE-o8	0.575124	0.057831	0.585587	0.056594	0.090070	-0.004550	0.289962	0.016571	0.201624	0.022853
84	BM25	0.530685	0.000000	0.537514	0.000000	0.107614	0.000000	0.268995	0.000000	0.172179	0.000000
84	DeepSeek-RRF	0.560238	0.029553	0.536111	-0.001404	0.109573	0.001960	0.261186	-0.007809	0.183130	0.010951
84	MiniLM-o4	0.577249	0.046564	0.560488	0.022973	0.106765	-0.000848	0.261186	-0.007809	0.184348	0.012169
84	BGE-o1	0.588223	0.057538	0.564166	0.026652	0.087945	-0.019668	0.261186	-0.007809	0.163493	-0.008686
84	BGE-o2	0.610591	0.079906	0.616363	0.078849	0.098284	-0.009330	0.261186	-0.007809	0.182296	0.010117
84	BGE-o4	0.550107	0.019422	0.548872	0.011357	0.106765	-0.000848	0.261186	-0.007809	0.186670	0.014491
84	BGE-o8	0.574502	0.043817	0.544814	0.007300	0.108749	0.001136	0.261186	-0.007809	0.186099	0.013920
144	BM25	0.133876	0.000000	0.141497	0.000000	0.048912	0.000000	0.138290	0.000000	0.027912	0.000000
144	DeepSeek-RRF	0.185499	0.051623	0.201917	0.060420	0.066369	0.017457	0.283776	0.145486	0.073324	0.045411
144	MiniLM-o4	0.271596	0.137719	0.249956	0.108459	0.068733	0.019821	0.283776	0.145486	0.085796	0.057883
144	BGE-o1	0.387302	0.253426	0.314303	0.172806	0.090096	0.041185	0.283776	0.145486	0.123553	0.095641
144	BGE-o2	0.326328	0.192451	0.307732	0.166235	0.082066	0.033154	0.283776	0.145486	0.107664	0.079752
144	BGE-o4	0.286908	0.153032	0.271409	0.129911	0.070796	0.021884	0.283776	0.145486	0.093523	0.065610
144	BGE-o8	0.262579	0.128703	0.237457	0.095960	0.068432	0.019520	0.283776	0.145486	0.084632	0.056719
161	BM25	0.486519	0.000000	0.491463	0.000000	0.108397	0.000000	0.275403	0.000000	0.155236	0.000000
161	DeepSeek-RRF	0.521053	0.034535	0.491367	-0.000096	0.105101	-0.003296	0.367998	0.092596	0.206307	0.051071
161	MiniLM-o4	0.606178	0.119660	0.567930	0.076467	0.104704	-0.003692	0.367998	0.092596	0.214100	0.058864
161	BGE-o1	0.625633	0.139114	0.542803	0.051340	0.082037	-0.026360	0.367998	0.092596	0.192924	0.037688
161	BGE-o2	0.606692	0.120173	0.562419	0.070956	0.099015	-0.009382	0.367998	0.092596	0.212030	0.056794
161	BGE-o4	0.604339	0.117821	0.547701	0.056238	0.102951	-0.005446	0.367998	0.092596	0.214280	0.059044
161	BGE-o8	0.607129	0.120610	0.549326	0.057863	0.104252	-0.004145	0.367998	0.092596	0.211259	0.056023
200	BM25	0.145789	0.000000	0.194850	0.000000	0.061208	0.000000	0.146024	0.000000	0.046924	0.000000
200	DeepSeek-RRF	0.152906	0.007117	0.156595	-0.038255	0.061454	0.000246	0.177118	0.031094	0.051377	0.004452
200	MiniLM-o4	0.320485	0.174696	0.280319	0.085469	0.063847	0.002639	0.177118	0.031094	0.059276	0.012352
200	BGE-o1	0.470738	0.324949	0.431803	0.236953	0.056460	-0.004748	0.177118	0.031094	0.065965	0.019040
200	BGE-o2	0.342962	0.197173	0.340347	0.145497	0.060962	-0.000246	0.177118	0.031094	0.062189	0.015264
200	BGE-o4	0.273824	0.128035	0.259863	0.065013	0.064420	0.003212	0.177118	0.031094	0.058458	0.011533
200	BGE-o8	0.175833	0.030045	0.175314	-0.019536	0.066240	0.005032	0.177118	0.031094	0.054714	0.007790
213	BM25	0.223451	0.000000	0.239660	0.000000	0.083950	0.000000	0.250590	0.000000	0.064125	0.000000
213	DeepSeek-RRF	0.408487	0.185036	0.323523	0.083863	0.106446	0.022496	0.343241	0.092652	0.113134	0.049009
213	MiniLM-o4	0.547017	0.323566	0.451311	0.211652	0.128819	0.044869	0.343241	0.092652	0.142137	0.078012
213	BGE-o1	0.684799	0.461348	0.617344	0.377684	0.163451	0.079501	0.343241	0.092652	0.194397	0.130272
213	BGE-o2	0.582241	0.358791	0.548384	0.308725	0.147367	0.063416	0.343241	0.092652	0.165807	0.101682
213	BGE-o4	0.528460	0.305009	0.444765	0.205105	0.128819	0.044869	0.343241	0.092652	0.143646	0.079521
213	BGE-o8	0.459921	0.236471	0.362489	0.122829	0.118074	0.034124	0.343241	0.092652	0.127433	0.063308
219	BM25	0.443482	0.000000	0.415789	0.000000	0.097756	0.000000	0.166253	0.000000	0.092774	0.000000
219	DeepSeek-RRF	0.491460	0.047978	0.440105	0.024316	0.086478	-0.011278	0.194439	0.028186	0.101115	0.008341
219	MiniLM-o4	0.530860	0.087378	0.482643	0.066854	0.084697	-0.013059	0.194439	0.028186	0.099396	0.006622
219	BGE-o1	0.344213	-0.099270	0.330661	-0.085128	0.054365	-0.043391	0.194439	0.028186	0.067650	-0.025124
219	BGE-o2	0.536577	0.093095	0.470012	0.054223	0.069951	-0.027805	0.194439	0.028186	0.092213	-0.000560
219	BGE-o4	0.492147	0.048665	0.455622	0.039833	0.080713	-0.017043	0.194439	0.028186	0.099256	0.006482
219	BGE-o8	0.491460	0.047978	0.452917	0.037128	0.085061	-0.012695	0.194439	0.028186	0.100626	0.007852
224	BM25	0.683317	0.000000	0.673153	0.000000	0.117484	0.000000	0.239346	0.000000	0.159239	0.000000
224	DeepSeek-RRF	0.699115	0.015797	0.670656	-0.002498	0.104966	-0.012518	0.303384	0.064038	0.183511	0.024272
224	MiniLM-o4	0.752713	0.069396	0.732241	0.059088	0.101245	-0.016239	0.303384	0.064038	0.180560	0.021321
224	BGE-o1	0.769421	0.086104	0.712210	0.039056	0.081325	-0.036158	0.303384	0.064038	0.154597	-0.004642
224	BGE-o2	0.782637	0.099320	0.735041	0.061887	0.098653	-0.018831	0.303384	0.064038	0.179011	0.019773
224	BGE-o4	0.756364	0.073046	0.734179	0.061025	0.106772	-0.010712	0.303384	0.064038	0.185120	0.025881
224	BGE-o8	0.739300	0.055983	0.714401	0.041248	0.106772	-0.010712	0.303384	0.064038	0.185029	0.025791
225	BM25	0.456614	0.000000	0.473075	0.000000	0.118465	0.000000	0.456819	0.000000	0.285261	0.000000
225	DeepSeek-RRF	0.524060	0.067446	0.509303	0.036228	0.106334	-0.012131	0.394274	-0.062545	0.246522	-0.038739
225	MiniLM-o4	0.526202	0.069588	0.512826	0.039751	0.103455	-0.015010	0.394274	-0.062545	0.245028	-0.040233
225	BGE-o1	0.465745	0.009131	0.466730	-0.006345	0.083671	-0.034794	0.394274	-0.062545	0.216142	-0.069119
225	BGE-o2	0.521281	0.064666	0.517560	0.044485	0.093003	-0.025462	0.394274	-0.062545	0.238287	-0.046974
225	BGE-o4	0.544731	0.088117	0.524215	0.051140	0.103068	-0.015397	0.394274	-0.062545	0.245718	-0.039542
225	BGE-o8	0.520326	0.063712	0.510435	0.037360	0.105001	-0.013464	0.394274	-0.062545	0.247496	-0.037765
233	BM25	0.606769	0.000000	0.625305	0.000000	0.082647	0.000000	0.246714	0.000000	0.134831	0.000000
