qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
14	BM25	0.495377	0.000000	0.486568	0.000000	0.113030	0.000000	0.229631	0.000000	0.130714	0.000000
14	MiniLM-o4	0.611348	0.115971	0.541833	0.055265	0.105354	-0.007676	0.258052	0.028421	0.155107	0.024393
14	BGE-o2	0.657547	0.162170	0.542539	0.055971	0.098423	-0.014607	0.258052	0.028421	0.155247	0.024533
14	BGE-o4	0.613337	0.117960	0.527045	0.040477	0.105354	-0.007676	0.258052	0.028421	0.157638	0.026924
14	Ensemble-o4-m1-b1	0.667461	0.172085	0.568988	0.082420	0.104047	-0.008983	0.258052	0.028421	0.156669	0.025954
14	Ensemble-o6-m1-b1	0.611961	0.116584	0.544456	0.057888	0.104874	-0.008156	0.258052	0.028421	0.157620	0.026905
14	Ensemble-o8-m1-b1	0.611126	0.115749	0.526394	0.039826	0.106280	-0.006750	0.258052	0.028421	0.156800	0.026085
14	Ensemble-o4-m05-b1	0.611961	0.116584	0.528823	0.042255	0.104874	-0.008156	0.258052	0.028421	0.157598	0.026884
14	Ensemble-o4-m1-b05	0.610994	0.115617	0.545960	0.059392	0.103468	-0.009562	0.258052	0.028421	0.156918	0.026204
14	Ensemble-o6-m05-b1	0.613351	0.117974	0.527785	0.041217	0.106280	-0.006750	0.258052	0.028421	0.157318	0.026604
31	BM25	0.799128	0.000000	0.797335	0.000000	0.098035	0.000000	0.267411	0.000000	0.189087	0.000000
31	MiniLM-o4	0.756002	-0.043126	0.801258	0.003923	0.090855	-0.007180	0.274339	0.006927	0.205861	0.016775
31	BGE-o2	0.814129	0.015000	0.829430	0.032096	0.086544	-0.011490	0.274339	0.006927	0.200807	0.011720
31	BGE-o4	0.779966	-0.019163	0.823162	0.025827	0.092830	-0.005205	0.274339	0.006927	0.207822	0.018735
31	Ensemble-o4-m1-b1	0.800513	0.001385	0.814964	0.017629	0.091843	-0.006192	0.274339	0.006927	0.202720	0.013633
31	Ensemble-o6-m1-b1	0.759987	-0.039142	0.814481	0.017147	0.091843	-0.006192	0.274339	0.006927	0.207214	0.018127
31	Ensemble-o8-m1-b1	0.757700	-0.041429	0.811564	0.014229	0.092830	-0.005205	0.274339	0.006927	0.208033	0.018946
31	Ensemble-o4-m05-b1	0.797192	-0.001936	0.811984	0.014650	0.092830	-0.005205	0.274339	0.006927	0.206380	0.017294
31	Ensemble-o4-m1-b05	0.790250	-0.008879	0.807272	0.009937	0.090855	-0.007180	0.274339	0.006927	0.205688	0.016602
31	Ensemble-o6-m05-b1	0.756302	-0.042826	0.811604	0.014269	0.092830	-0.005205	0.274339	0.006927	0.208191	0.019105
37	BM25	0.589782	0.000000	0.503073	0.000000	0.096443	0.000000	0.156366	0.000000	0.100911	0.000000
37	MiniLM-o4	0.633751	0.043969	0.548996	0.045923	0.087458	-0.008984	0.178100	0.021734	0.117355	0.016444
37	BGE-o2	0.660619	0.070836	0.590498	0.087425	0.080397	-0.016046	0.178100	0.021734	0.111265	0.010353
37	BGE-o4	0.658247	0.068464	0.554368	0.051295	0.088898	-0.007544	0.178100	0.021734	0.114629	0.013718
37	Ensemble-o4-m1-b1	0.634598	0.044816	0.550956	0.047882	0.084486	-0.011957	0.178100	0.021734	0.117600	0.016688
37	Ensemble-o6-m1-b1	0.634481	0.044699	0.552010	0.048937	0.088582	-0.007861	0.178100	0.021734	0.117300	0.016389
37	Ensemble-o8-m1-b1	0.634481	0.044699	0.557189	0.054116	0.088178	-0.008264	0.178100	0.021734	0.116488	0.015577
37	Ensemble-o4-m05-b1	0.648223	0.058440	0.561791	0.058718	0.086012	-0.010431	0.178100	0.021734	0.116855	0.015944
37	Ensemble-o4-m1-b05	0.630924	0.041141	0.547389	0.044316	0.089381	-0.007062	0.178100	0.021734	0.117917	0.017005
37	Ensemble-o6-m05-b1	0.660341	0.070558	0.556486	0.053413	0.088178	-0.008264	0.178100	0.021734	0.115817	0.014906
58	BM25	0.632219	0.000000	0.636807	0.000000	0.154090	0.000000	0.391017	0.000000	0.237195	0.000000
58	MiniLM-o4	0.739107	0.106888	0.720530	0.083723	0.143270	-0.010820	0.378913	-0.012104	0.249976	0.012782
58	BGE-o2	0.697980	0.065761	0.697879	0.061072	0.134214	-0.019876	0.378913	-0.012104	0.236702	-0.000493
58	BGE-o4	0.695116	0.062898	0.701609	0.064802	0.140517	-0.013573	0.378913	-0.012104	0.242831	0.005636
58	Ensemble-o4-m1-b1	0.747211	0.114992	0.712910	0.076103	0.137931	-0.016159	0.378913	-0.012104	0.246467	0.009272
58	Ensemble-o6-m1-b1	0.749330	0.117111	0.707909	0.071102	0.138577	-0.015513	0.378913	-0.012104	0.247894	0.010700
58	Ensemble-o8-m1-b1	0.738229	0.106010	0.702212	0.065405	0.142458	-0.011632	0.378913	-0.012104	0.247344	0.010150
58	Ensemble-o4-m05-b1	0.750277	0.118058	0.706261	0.069454	0.136800	-0.017290	0.378913	-0.012104	0.245737	0.008542
58	Ensemble-o4-m1-b05	0.770760	0.138542	0.722717	0.085910	0.139871	-0.014219	0.378913	-0.012104	0.249527	0.012332
58	Ensemble-o6-m05-b1	0.739786	0.107567	0.702561	0.065754	0.139869	-0.014221	0.378913	-0.012104	0.245981	0.008786
72	BM25	0.517293	0.000000	0.528993	0.000000	0.094620	0.000000	0.273391	0.000000	0.178772	0.000000
72	MiniLM-o4	0.587284	0.069992	0.583566	0.054573	0.090070	-0.004550	0.289962	0.016571	0.203570	0.024798
72	BGE-o2	0.651320	0.134028	0.652932	0.123940	0.077753	-0.016867	0.289962	0.016571	0.189009	0.010238
72	BGE-o4	0.606223	0.088930	0.611233	0.082240	0.085409	-0.009210	0.289962	0.016571	0.198879	0.020108
72	Ensemble-o4-m1-b1	0.630507	0.113214	0.639635	0.110642	0.084411	-0.010209	0.289962	0.016571	0.196735	0.017964
72	Ensemble-o6-m1-b1	0.602805	0.085512	0.608718	0.079725	0.087407	-0.007213	0.289962	0.016571	0.201275	0.022504
72	Ensemble-o8-m1-b1	0.602805	0.085512	0.608969	0.079976	0.088073	-0.006547	0.289962	0.016571	0.202620	0.023849
72	Ensemble-o4-m05-b1	0.606395	0.089103	0.613184	0.084191	0.084411	-0.010209	0.289962	0.016571	0.199142	0.020370
72	Ensemble-o4-m1-b05	0.606295	0.089002	0.611745	0.082753	0.087407	-0.007213	0.289962	0.016571	0.200872	0.022100
72	Ensemble-o6-m05-b1	0.602999	0.085706	0.608051	0.079058	0.087407	-0.007213	0.289962	0.016571	0.201818	0.023046
84	BM25	0.530685	0.000000	0.537514	0.000000	0.107614	0.000000	0.268995	0.000000	0.172179	0.000000
84	MiniLM-o4	0.577249	0.046564	0.560488	0.022973	0.106765	-0.000848	0.261186	-0.007809	0.184348	0.012169
84	BGE-o2	0.610591	0.079906	0.616363	0.078849	0.098284	-0.009330	0.261186	-0.007809	0.182296	0.010117
84	BGE-o4	0.550107	0.019422	0.548872	0.011357	0.106765	-0.000848	0.261186	-0.007809	0.186670	0.014491
84	Ensemble-o4-m1-b1	0.553249	0.022564	0.581733	0.044218	0.103203	-0.004411	0.261186	-0.007809	0.183808	0.011629
84	Ensemble-o6-m1-b1	0.579630	0.048945	0.570383	0.032868	0.104433	-0.003181	0.261186	-0.007809	0.186096	0.013917
84	Ensemble-o8-m1-b1	0.585925	0.055240	0.558025	0.020510	0.106765	-0.000848	0.261186	-0.007809	0.186559	0.014380
84	Ensemble-o4-m05-b1	0.546957	0.016272	0.573713	0.036199	0.103203	-0.004411	0.261186	-0.007809	0.186123	0.013944
84	Ensemble-o4-m1-b05	0.545574	0.014889	0.576125	0.038610	0.104433	-0.003181	0.261186	-0.007809	0.184920	0.012741
84	Ensemble-o6-m05-b1	0.589008	0.058323	0.559268	0.021753	0.106765	-0.000848	0.261186	-0.007809	0.186830	0.014651
144	BM25	0.133876	0.000000	0.141497	0.000000	0.048912	0.000000	0.138290	0.000000	0.027912	0.000000
144	MiniLM-o4	0.271596	0.137719	0.249956	0.108459	0.068733	0.019821	0.283776	0.145486	0.085796	0.057883
144	BGE-o2	0.326328	0.192451	0.307732	0.166235	0.082066	0.033154	0.283776	0.145486	0.107664	0.079752
144	BGE-o4	0.286908	0.153032	0.271409	0.129911	0.070796	0.021884	0.283776	0.145486	0.093523	0.065610
144	Ensemble-o4-m1-b1	0.294987	0.161111	0.294015	0.152517	0.077456	0.028544	0.283776	0.145486	0.101694	0.073782
144	Ensemble-o6-m1-b1	0.290222	0.156346	0.262592	0.121095	0.072066	0.023154	0.283776	0.145486	0.094404	0.066491
144	Ensemble-o8-m1-b1	0.269203	0.135326	0.251972	0.110475	0.068733	0.019821	0.283776	0.145486	0.089611	0.061698
144	Ensemble-o4-m05-b1	0.295687	0.161811	0.283283	0.141785	0.076670	0.027758	0.283776	0.145486	0.098452	0.070540
144	Ensemble-o4-m1-b05	0.289913	0.156036	0.262377	0.120880	0.072066	0.023154	0.283776	0.145486	0.094335	0.066423
144	Ensemble-o6-m05-b1	0.275255	0.141378	0.255936	0.114439	0.069218	0.020306	0.283776	0.145486	0.091108	0.063196
161	BM25	0.486519	0.000000	0.491463	0.000000	0.108397	0.000000	0.275403	0.000000	0.155236	0.000000
161	MiniLM-o4	0.606178	0.119660	0.567930	0.076467	0.104704	-0.003692	0.367998	0.092596	0.214100	0.058864
161	BGE-o2	0.606692	0.120173	0.562419	0.070956	0.099015	-0.009382	0.367998	0.092596	0.212030	0.056794
161	BGE-o4	0.604339	0.117821	0.547701	0.056238	0.102951	-0.005446	0.367998	0.092596	0.214280	0.059044
161	Ensemble-o4-m1-b1	0.606692	0.120173	0.568976	0.077513	0.102918	-0.005479	0.367998	0.092596	0.214969	0.059733
161	Ensemble-o6-m1-b1	0.606178	0.119660	0.567887	0.076424	0.103889	-0.004508	0.367998	0.092596	0.215388	0.060152
161	Ensemble-o8-m1-b1	0.606178	0.119660	0.549063	0.057600	0.104704	-0.003692	0.367998	0.092596	0.214455	0.059220
161	Ensemble-o4-m05-b1	0.606178	0.119660	0.567746	0.076283	0.103889	-0.004508	0.367998	0.092596	0.215429	0.060194
161	Ensemble-o4-m1-b05	0.606178	0.119660	0.568603	0.077140	0.105642	-0.002755	0.367998	0.092596	0.215420	0.060184
161	Ensemble-o6-m05-b1	0.604339	0.117821	0.547818	0.056355	0.104252	-0.004145	0.367998	0.092596	0.214129	0.058893
200	BM25	0.145789	0.000000	0.194850	0.000000	0.061208	0.000000	0.146024	0.000000	0.046924	0.000000
200	MiniLM-o4	0.320485	0.174696	0.280319	0.085469	0.063847	0.002639	0.177118	0.031094	0.059276	0.012352
200	BGE-o2	0.342962	0.197173	0.340347	0.145497	0.060962	-0.000246	0.177118	0.031094	0.062189	0.015264
200	BGE-o4	0.273824	0.128035	0.259863	0.065013	0.064420	0.003212	0.177118	0.031094	0.058458	0.011533
200	Ensemble-o4-m1-b1	0.379279	0.233490	0.344181	0.149331	0.062803	0.001595	0.177118	0.031094	0.064070	0.017145
200	Ensemble-o6-m1-b1	0.322240	0.176451	0.291729	0.096879	0.063172	0.001964	0.177118	0.031094	0.060671	0.013747
200	Ensemble-o8-m1-b1	0.319757	0.173968	0.258939	0.064089	0.064420	0.003212	0.177118	0.031094	0.059008	0.012083
200	Ensemble-o4-m05-b1	0.322240	0.176451	0.318307	0.123457	0.062824	0.001616	0.177118	0.031094	0.061289	0.014365
200	Ensemble-o4-m1-b05	0.322240	0.176451	0.299687	0.104837	0.062824	0.001616	0.177118	0.031094	0.061716	0.014792
200	Ensemble-o6-m05-b1	0.318067	0.172279	0.257677	0.062827	0.064768	0.003560	0.177118	0.031094	0.058829	0.011904
213	BM25	0.223451	0.000000	0.239660	0.000000	0.083950	0.000000	0.250590	0.000000	0.064125	0.000000
213	MiniLM-o4	0.547017	0.323566	0.451311	0.211652	0.128819	0.044869	0.343241	0.092652	0.142137	0.078012
213	BGE-o2	0.582241	0.358791	0.548384	0.308725	0.147367	0.063416	0.343241	0.092652	0.165807	0.101682
213	BGE-o4	0.528460	0.305009	0.444765	0.205105	0.128819	0.044869	0.343241	0.092652	0.143646	0.079521
213	Ensemble-o4-m1-b1	0.593252	0.369801	0.524217	0.284558	0.147781	0.063830	0.343241	0.092652	0.164985	0.100860
213	Ensemble-o6-m1-b1	0.542226	0.318775	0.481328	0.241668	0.130305	0.046355	0.343241	0.092652	0.150929	0.086804
213	Ensemble-o8-m1-b1	0.539686	0.316235	0.446731	0.207071	0.130746	0.046796	0.343241	0.092652	0.142970	0.078845
213	Ensemble-o4-m05-b1	0.542226	0.318775	0.484343	0.244684	0.131255	0.047304	0.343241	0.092652	0.155017	0.090891
213	Ensemble-o4-m1-b05	0.545857	0.322406	0.485534	0.245875	0.132740	0.048790	0.343241	0.092652	0.153732	0.089607
213	Ensemble-o6-m05-b1	0.538951	0.315500	0.451780	0.212120	0.130746	0.046796	0.343241	0.092652	0.143475	0.079350
219	BM25	0.443482	0.000000	0.415789	0.000000	0.097756	0.000000	0.166253	0.000000	0.092774	0.000000
219	MiniLM-o4	0.530860	0.087378	0.482643	0.066854	0.084697	-0.013059	0.194439	0.028186	0.099396	0.006622
219	BGE-o2	0.536577	0.093095	0.470012	0.054223	0.069951	-0.027805	0.194439	0.028186	0.092213	-0.000560
219	BGE-o4	0.492147	0.048665	0.455622	0.039833	0.080713	-0.017043	0.194439	0.028186	0.099256	0.006482
219	Ensemble-o4-m1-b1	0.564576	0.121094	0.505817	0.090028	0.071943	-0.025813	0.194439	0.028186	0.094134	0.001360
219	Ensemble-o6-m1-b1	0.507404	0.063922	0.484418	0.068629	0.077037	-0.020719	0.194439	0.028186	0.098368	0.005594
219	Ensemble-o8-m1-b1	0.531437	0.087954	0.483683	0.067894	0.083280	-0.014476	0.194439	0.028186	0.099553	0.006779
219	Ensemble-o4-m05-b1	0.552363	0.108881	0.488994	0.073205	0.072785	-0.024971	0.194439	0.028186	0.097157	0.004383
219	Ensemble-o4-m1-b05	0.533162	0.089680	0.485350	0.069561	0.075831	-0.021925	0.194439	0.028186	0.097163	0.004389
219	Ensemble-o6-m05-b1	0.503344	0.059862	0.454621	0.038832	0.081863	-0.015893	0.194439	0.028186	0.099396	0.006622
224	BM25	0.683317	0.000000	0.673153	0.000000	0.117484	0.000000	0.239346	0.000000	0.159239	0.000000
224	MiniLM-o4	0.752713	0.069396	0.732241	0.059088	0.101245	-0.016239	0.303384	0.064038	0.180560	0.021321
224	BGE-o2	0.782637	0.099320	0.735041	0.061887	0.098653	-0.018831	0.303384	0.064038	0.179011	0.019773
