qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
14	BM25	0.495377	0.000000	0.486568	0.000000	0.113030	0.000000	0.229631	0.000000	0.130714	0.000000
14	DeepSeek-RRF	0.579714	0.084337	0.524742	0.038174	0.109523	-0.003508	0.258052	0.028421	0.151198	0.020484
14	BGE-o2	0.657547	0.162170	0.542539	0.055971	0.098423	-0.014607	0.258052	0.028421	0.155247	0.024533
14	Ensemble3	0.667461	0.172085	0.568988	0.082420	0.104047	-0.008983	0.258052	0.028421	0.156669	0.025954
14	Four-d2-b2-m1-g1	0.626545	0.131168	0.532754	0.046186	0.105436	-0.007594	0.258052	0.028421	0.154786	0.024072
14	Four-d4-b2-m1-g1	0.605386	0.110009	0.524828	0.038259	0.110002	-0.003028	0.258052	0.028421	0.155669	0.024955
14	Four-d4-b4-m1-g1	0.557122	0.061745	0.516467	0.029899	0.112285	-0.000745	0.258052	0.028421	0.152144	0.021430
14	Four-d4-b4-m05-g1	0.552298	0.056921	0.512607	0.026039	0.112682	-0.000348	0.258449	0.028818	0.151065	0.020351
14	Four-d4-b6-m1-g1	0.552298	0.056921	0.516411	0.029842	0.115015	0.001985	0.261872	0.032242	0.150214	0.019500
14	Four-d6-b4-m1-g1	0.579551	0.084174	0.516589	0.030021	0.112285	-0.000745	0.258052	0.028421	0.152327	0.021612
31	BM25	0.799128	0.000000	0.797335	0.000000	0.098035	0.000000	0.267411	0.000000	0.189087	0.000000
31	DeepSeek-RRF	0.761820	-0.037309	0.804130	0.006795	0.096420	-0.001615	0.274339	0.006927	0.204944	0.015857
31	BGE-o2	0.814129	0.015000	0.829430	0.032096	0.086544	-0.011490	0.274339	0.006927	0.200807	0.011720
31	Ensemble3	0.800513	0.001385	0.814964	0.017629	0.091843	-0.006192	0.274339	0.006927	0.202720	0.013633
31	Four-d2-b2-m1-g1	0.790682	-0.008447	0.801784	0.004450	0.091843	-0.006192	0.274339	0.006927	0.201669	0.012583
31	Four-d4-b2-m1-g1	0.761357	-0.037771	0.815731	0.018396	0.092830	-0.005205	0.274339	0.006927	0.206264	0.017177
31	Four-d4-b4-m1-g1	0.776666	-0.022463	0.801961	0.004626	0.092470	-0.005565	0.278289	0.010878	0.205722	0.016636
31	Four-d4-b4-m05-g1	0.779128	-0.020000	0.797947	0.000613	0.093457	-0.004577	0.279276	0.011865	0.206107	0.017021
31	Four-d4-b6-m1-g1	0.777676	-0.021452	0.796999	-0.000336	0.093457	-0.004577	0.285508	0.018097	0.206255	0.017168
31	Four-d6-b4-m1-g1	0.776115	-0.023013	0.801347	0.004012	0.092470	-0.005565	0.274339	0.006927	0.205973	0.016886
37	BM25	0.589782	0.000000	0.503073	0.000000	0.096443	0.000000	0.156366	0.000000	0.100911	0.000000
37	DeepSeek-RRF	0.640068	0.050285	0.551779	0.048706	0.091145	-0.005298	0.178100	0.021734	0.111319	0.010408
37	BGE-o2	0.660619	0.070836	0.590498	0.087425	0.080397	-0.016046	0.178100	0.021734	0.111265	0.010353
37	Ensemble3	0.634598	0.044816	0.550956	0.047882	0.084486	-0.011957	0.178100	0.021734	0.117600	0.016688
37	Four-d2-b2-m1-g1	0.628309	0.038527	0.552741	0.049668	0.088258	-0.008185	0.178100	0.021734	0.115985	0.015073
37	Four-d4-b2-m1-g1	0.639870	0.050087	0.554715	0.051642	0.089302	-0.007141	0.178100	0.021734	0.115880	0.014969
37	Four-d4-b4-m1-g1	0.646600	0.056818	0.537031	0.033958	0.090748	-0.005695	0.181066	0.024700	0.114036	0.013124
37	Four-d4-b4-m05-g1	0.659576	0.069793	0.544919	0.041846	0.090748	-0.005695	0.181463	0.025097	0.112684	0.011772
37	Four-d4-b6-m1-g1	0.658873	0.069091	0.544282	0.041209	0.089625	-0.006818	0.183306	0.026940	0.112778	0.011867
37	Four-d6-b4-m1-g1	0.661041	0.071259	0.546324	0.043251	0.090748	-0.005695	0.178100	0.021734	0.113499	0.012588
58	BM25	0.632219	0.000000	0.636807	0.000000	0.154090	0.000000	0.391017	0.000000	0.237195	0.000000
58	DeepSeek-RRF	0.700503	0.068285	0.653091	0.016284	0.145044	-0.009046	0.378913	-0.012104	0.237700	0.000505
58	BGE-o2	0.697980	0.065761	0.697879	0.061072	0.134214	-0.019876	0.378913	-0.012104	0.236702	-0.000493
58	Ensemble3	0.747211	0.114992	0.712910	0.076103	0.137931	-0.016159	0.378913	-0.012104	0.246467	0.009272
58	Four-d2-b2-m1-g1	0.742758	0.110540	0.722806	0.085999	0.147143	-0.006947	0.378913	-0.012104	0.255234	0.018040
58	Four-d4-b2-m1-g1	0.747101	0.114883	0.708283	0.071475	0.147622	-0.006467	0.378913	-0.012104	0.254326	0.017132
58	Four-d4-b4-m1-g1	0.714487	0.082268	0.690256	0.053449	0.154095	0.000005	0.382301	-0.008716	0.253454	0.016260
58	Four-d4-b4-m05-g1	0.708948	0.076729	0.670372	0.033565	0.154095	0.000005	0.386986	-0.004031	0.251375	0.014181
58	Four-d4-b6-m1-g1	0.712284	0.080065	0.672508	0.035701	0.153446	-0.000643	0.404589	0.013572	0.256010	0.018816
58	Four-d6-b4-m1-g1	0.736595	0.104377	0.671336	0.034529	0.152800	-0.001289	0.378913	-0.012104	0.251365	0.014170
72	BM25	0.517293	0.000000	0.528993	0.000000	0.094620	0.000000	0.273391	0.000000	0.178772	0.000000
72	DeepSeek-RRF	0.576336	0.059043	0.565311	0.036318	0.092068	-0.002552	0.289962	0.016571	0.202217	0.023445
72	BGE-o2	0.651320	0.134028	0.652932	0.123940	0.077753	-0.016867	0.289962	0.016571	0.189009	0.010238
72	Ensemble3	0.630507	0.113214	0.639635	0.110642	0.084411	-0.010209	0.289962	0.016571	0.196735	0.017964
72	Four-d2-b2-m1-g1	0.609078	0.091786	0.581350	0.052357	0.086704	-0.007916	0.289962	0.016571	0.193829	0.015057
72	Four-d4-b2-m1-g1	0.600760	0.083467	0.579706	0.050713	0.089700	-0.004919	0.289962	0.016571	0.199504	0.020732
72	Four-d4-b4-m1-g1	0.564067	0.046774	0.566040	0.037048	0.090995	-0.003625	0.292958	0.019567	0.198114	0.019343
72	Four-d4-b4-m05-g1	0.537734	0.020441	0.562758	0.033766	0.091993	-0.002626	0.296953	0.023562	0.198921	0.020150
72	Four-d4-b6-m1-g1	0.539588	0.022295	0.563597	0.034604	0.092992	-0.001628	0.301947	0.028556	0.198867	0.020096
72	Four-d6-b4-m1-g1	0.575434	0.058141	0.566898	0.037905	0.091993	-0.002626	0.289962	0.016571	0.199690	0.020918
84	BM25	0.530685	0.000000	0.537514	0.000000	0.107614	0.000000	0.268995	0.000000	0.172179	0.000000
84	DeepSeek-RRF	0.560238	0.029553	0.536111	-0.001404	0.109573	0.001960	0.261186	-0.007809	0.183130	0.010951
84	BGE-o2	0.610591	0.079906	0.616363	0.078849	0.098284	-0.009330	0.261186	-0.007809	0.182296	0.010117
84	Ensemble3	0.553249	0.022564	0.581733	0.044218	0.103203	-0.004411	0.261186	-0.007809	0.183808	0.011629
84	Four-d2-b2-m1-g1	0.587765	0.057080	0.563183	0.025668	0.103203	-0.004411	0.261186	-0.007809	0.183322	0.011143
84	Four-d4-b2-m1-g1	0.596655	0.065970	0.556951	0.019437	0.106417	-0.001197	0.261186	-0.007809	0.186095	0.013916
84	Four-d4-b4-m1-g1	0.600830	0.070146	0.548872	0.011357	0.109631	0.002017	0.264875	-0.004120	0.185895	0.013716
84	Four-d4-b4-m05-g1	0.588702	0.058017	0.549223	0.011709	0.109979	0.002366	0.267614	-0.001381	0.186655	0.014475
84	Four-d4-b6-m1-g1	0.572572	0.041888	0.547953	0.010439	0.109979	0.002366	0.268368	-0.000627	0.185621	0.013442
84	Four-d6-b4-m1-g1	0.602209	0.071525	0.549347	0.011833	0.109979	0.002366	0.261186	-0.007809	0.185976	0.013797
144	BM25	0.133876	0.000000	0.141497	0.000000	0.048912	0.000000	0.138290	0.000000	0.027912	0.000000
144	DeepSeek-RRF	0.185499	0.051623	0.201917	0.060420	0.066369	0.017457	0.283776	0.145486	0.073324	0.045411
144	BGE-o2	0.326328	0.192451	0.307732	0.166235	0.082066	0.033154	0.283776	0.145486	0.107664	0.079752
144	Ensemble3	0.294987	0.161111	0.294015	0.152517	0.077456	0.028544	0.283776	0.145486	0.101694	0.073782
144	Four-d2-b2-m1-g1	0.278891	0.145015	0.250155	0.108658	0.065885	0.016973	0.283776	0.145486	0.084484	0.056571
144	Four-d4-b2-m1-g1	0.271335	0.137459	0.235729	0.094232	0.063521	0.014609	0.283776	0.145486	0.082545	0.054633
144	Four-d4-b4-m1-g1	0.242456	0.108579	0.221115	0.079618	0.060979	0.012067	0.281713	0.143423	0.071492	0.043580
144	Four-d4-b4-m05-g1	0.209614	0.075737	0.217661	0.076163	0.060979	0.012067	0.281719	0.143429	0.069001	0.041089
144	Four-d4-b6-m1-g1	0.189328	0.055452	0.216293	0.074796	0.057339	0.008427	0.276442	0.138152	0.064545	0.036633
144	Four-d6-b4-m1-g1	0.211256	0.077379	0.214344	0.072847	0.061464	0.012552	0.283776	0.145486	0.072916	0.045004
161	BM25	0.486519	0.000000	0.491463	0.000000	0.108397	0.000000	0.275403	0.000000	0.155236	0.000000
161	DeepSeek-RRF	0.521053	0.034535	0.491367	-0.000096	0.105101	-0.003296	0.367998	0.092596	0.206307	0.051071
161	BGE-o2	0.606692	0.120173	0.562419	0.070956	0.099015	-0.009382	0.367998	0.092596	0.212030	0.056794
161	Ensemble3	0.606692	0.120173	0.568976	0.077513	0.102918	-0.005479	0.367998	0.092596	0.214969	0.059733
161	Four-d2-b2-m1-g1	0.614825	0.128306	0.557309	0.065846	0.108211	-0.000186	0.367998	0.092596	0.209587	0.054351
161	Four-d4-b2-m1-g1	0.605142	0.118624	0.556762	0.065299	0.106491	-0.001906	0.367998	0.092596	0.210614	0.055378
161	Four-d4-b4-m1-g1	0.614089	0.127570	0.555508	0.064045	0.107129	-0.001268	0.366245	0.090842	0.204183	0.048947
161	Four-d4-b4-m05-g1	0.617946	0.131428	0.548248	0.056785	0.107129	-0.001268	0.359984	0.084581	0.200113	0.044877
161	Four-d4-b6-m1-g1	0.617946	0.131428	0.548104	0.056641	0.107129	-0.001268	0.344495	0.069092	0.193746	0.038510
161	Four-d6-b4-m1-g1	0.613575	0.127057	0.555230	0.063767	0.108066	-0.000331	0.367998	0.092596	0.205204	0.049968
200	BM25	0.145789	0.000000	0.194850	0.000000	0.061208	0.000000	0.146024	0.000000	0.046924	0.000000
200	DeepSeek-RRF	0.152906	0.007117	0.156595	-0.038255	0.061454	0.000246	0.177118	0.031094	0.051377	0.004452
200	BGE-o2	0.342962	0.197173	0.340347	0.145497	0.060962	-0.000246	0.177118	0.031094	0.062189	0.015264
200	Ensemble3	0.379279	0.233490	0.344181	0.149331	0.062803	0.001595	0.177118	0.031094	0.064070	0.017145
200	Four-d2-b2-m1-g1	0.414519	0.268730	0.357875	0.163025	0.061535	0.000326	0.177118	0.031094	0.066311	0.019386
200	Four-d4-b2-m1-g1	0.312920	0.167131	0.290357	0.095507	0.066792	0.005584	0.177118	0.031094	0.061854	0.014929
