qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
14	BM25	0.495377	0.000000	0.486568	0.000000	0.113030	0.000000	0.229631	0.000000	0.130714	0.000000
14	DeepSeek-RRF	0.579714	0.084337	0.524742	0.038174	0.109523	-0.003508	0.258052	0.028421	0.151198	0.020484
14	MiniLM	0.611348	0.115971	0.541833	0.055265	0.105354	-0.007676	0.258052	0.028421	0.155107	0.024393
31	BM25	0.799128	0.000000	0.797335	0.000000	0.098035	0.000000	0.267411	0.000000	0.189087	0.000000
31	DeepSeek-RRF	0.761820	-0.037309	0.804130	0.006795	0.096420	-0.001615	0.274339	0.006927	0.204944	0.015857
31	MiniLM	0.756002	-0.043126	0.801258	0.003923	0.090855	-0.007180	0.274339	0.006927	0.205861	0.016775
37	BM25	0.589782	0.000000	0.503073	0.000000	0.096443	0.000000	0.156366	0.000000	0.100911	0.000000
37	DeepSeek-RRF	0.640068	0.050285	0.551779	0.048706	0.091145	-0.005298	0.178100	0.021734	0.111319	0.010408
37	MiniLM	0.633751	0.043969	0.548996	0.045923	0.087458	-0.008984	0.178100	0.021734	0.117355	0.016444
58	BM25	0.632219	0.000000	0.636807	0.000000	0.154090	0.000000	0.391017	0.000000	0.237195	0.000000
58	DeepSeek-RRF	0.700503	0.068285	0.653091	0.016284	0.145044	-0.009046	0.378913	-0.012104	0.237700	0.000505
58	MiniLM	0.739107	0.106888	0.720530	0.083723	0.143270	-0.010820	0.378913	-0.012104	0.249976	0.012782
72	BM25	0.517293	0.000000	0.528993	0.000000	0.094620	0.000000	0.273391	0.000000	0.178772	0.000000
72	DeepSeek-RRF	0.576336	0.059043	0.565311	0.036318	0.092068	-0.002552	0.289962	0.016571	0.202217	0.023445
72	MiniLM	0.587284	0.069992	0.583566	0.054573	0.090070	-0.004550	0.289962	0.016571	0.203570	0.024798
84	BM25	0.530685	0.000000	0.537514	0.000000	0.107614	0.000000	0.268995	0.000000	0.172179	0.000000
84	DeepSeek-RRF	0.560238	0.029553	0.536111	-0.001404	0.109573	0.001960	0.261186	-0.007809	0.183130	0.010951
84	MiniLM	0.577249	0.046564	0.560488	0.022973	0.106765	-0.000848	0.261186	-0.007809	0.184348	0.012169
144	BM25	0.133876	0.000000	0.141497	0.000000	0.048912	0.000000	0.138290	0.000000	0.027912	0.000000
144	DeepSeek-RRF	0.185499	0.051623	0.201917	0.060420	0.066369	0.017457	0.283776	0.145486	0.073324	0.045411
144	MiniLM	0.271596	0.137719	0.249956	0.108459	0.068733	0.019821	0.283776	0.145486	0.085796	0.057883
161	BM25	0.486519	0.000000	0.491463	0.000000	0.108397	0.000000	0.275403	0.000000	0.155236	0.000000
161	DeepSeek-RRF	0.521053	0.034535	0.491367	-0.000096	0.105101	-0.003296	0.367998	0.092596	0.206307	0.051071
161	MiniLM	0.606178	0.119660	0.567930	0.076467	0.104704	-0.003692	0.367998	0.092596	0.214100	0.058864
200	BM25	0.145789	0.000000	0.194850	0.000000	0.061208	0.000000	0.146024	0.000000	0.046924	0.000000
200	DeepSeek-RRF	0.152906	0.007117	0.156595	-0.038255	0.061454	0.000246	0.177118	0.031094	0.051377	0.004452
200	MiniLM	0.320485	0.174696	0.280319	0.085469	0.063847	0.002639	0.177118	0.031094	0.059276	0.012352
213	BM25	0.223451	0.000000	0.239660	0.000000	0.083950	0.000000	0.250590	0.000000	0.064125	0.000000
213	DeepSeek-RRF	0.408487	0.185036	0.323523	0.083863	0.106446	0.022496	0.343241	0.092652	0.113134	0.049009
213	MiniLM	0.547017	0.323566	0.451311	0.211652	0.128819	0.044869	0.343241	0.092652	0.142137	0.078012
219	BM25	0.443482	0.000000	0.415789	0.000000	0.097756	0.000000	0.166253	0.000000	0.092774	0.000000
219	DeepSeek-RRF	0.491460	0.047978	0.440105	0.024316	0.086478	-0.011278	0.194439	0.028186	0.101115	0.008341
219	MiniLM	0.530860	0.087378	0.482643	0.066854	0.084697	-0.013059	0.194439	0.028186	0.099396	0.006622
224	BM25	0.683317	0.000000	0.673153	0.000000	0.117484	0.000000	0.239346	0.000000	0.159239	0.000000
224	DeepSeek-RRF	0.699115	0.015797	0.670656	-0.002498	0.104966	-0.012518	0.303384	0.064038	0.183511	0.024272
224	MiniLM	0.752713	0.069396	0.732241	0.059088	0.101245	-0.016239	0.303384	0.064038	0.180560	0.021321
225	BM25	0.456614	0.000000	0.473075	0.000000	0.118465	0.000000	0.456819	0.000000	0.285261	0.000000
225	DeepSeek-RRF	0.524060	0.067446	0.509303	0.036228	0.106334	-0.012131	0.394274	-0.062545	0.246522	-0.038739
225	MiniLM	0.526202	0.069588	0.512826	0.039751	0.103455	-0.015010	0.394274	-0.062545	0.245028	-0.040233
233	BM25	0.606769	0.000000	0.625305	0.000000	0.082647	0.000000	0.246714	0.000000	0.134831	0.000000
233	DeepSeek-RRF	0.681184	0.074415	0.657049	0.031744	0.088051	0.005403	0.329725	0.083011	0.222656	0.087826
233	MiniLM	0.733791	0.127022	0.680222	0.054917	0.087409	0.004762	0.329725	0.083011	0.229989	0.095159
273	BM25	0.396020	0.000000	0.361430	0.000000	0.107417	0.000000	0.209082	0.000000	0.087577	0.000000
273	DeepSeek-RRF	0.415772	0.019752	0.376097	0.014667	0.101520	-0.005897	0.251931	0.042849	0.104451	0.016873
273	MiniLM	0.520643	0.124624	0.415565	0.054135	0.098940	-0.008478	0.251931	0.042849	0.111219	0.023642
300	BM25	0.374592	0.000000	0.379544	0.000000	0.097720	0.000000	0.180840	0.000000	0.103511	0.000000
300	DeepSeek-RRF	0.415604	0.041012	0.417759	0.038215	0.091071	-0.006649	0.254741	0.073902	0.135634	0.032123
300	MiniLM	0.455068	0.080476	0.462655	0.083111	0.090205	-0.007515	0.254741	0.073902	0.147174	0.043664
407	BM25	0.285418	0.000000	0.333602	0.000000	0.112872	0.000000	0.270907	0.000000	0.072813	0.000000
407	DeepSeek-RRF	0.254564	-0.030854	0.290264	-0.043339	0.101099	-0.011774	0.262441	-0.008466	0.070666	-0.002148
407	MiniLM	0.333195	0.047777	0.369168	0.035565	0.109007	-0.003866	0.262441	-0.008466	0.080749	0.007936
477	BM25	0.560631	0.000000	0.474184	0.000000	0.101161	0.000000	0.267991	0.000000	0.132984	0.000000
477	DeepSeek-RRF	0.486585	-0.074046	0.469074	-0.005110	0.101701	0.000539	0.291618	0.023627	0.148935	0.015952
477	MiniLM	0.623857	0.063227	0.514771	0.040587	0.100890	-0.000272	0.291618	0.023627	0.153594	0.020610
499	BM25	0.689916	0.000000	0.704472	0.000000	0.127959	0.000000	0.542132	0.000000	0.392382	0.000000
499	DeepSeek-RRF	0.690304	0.000388	0.675975	-0.028497	0.123981	-0.003979	0.556203	0.014071	0.415509	0.023127
499	MiniLM	0.703099	0.013183	0.706832	0.002361	0.122739	-0.005221	0.556203	0.014071	0.415322	0.022940
515	BM25	0.289521	0.000000	0.310660	0.000000	0.058788	0.000000	0.119860	0.000000	0.053729	0.000000
515	DeepSeek-RRF	0.299076	0.009555	0.303801	-0.006859	0.053693	-0.005096	0.202320	0.082460	0.073447	0.019718
515	MiniLM	0.292301	0.002780	0.294202	-0.016458	0.054448	-0.004340	0.202320	0.082460	0.077627	0.023898
707	BM25	0.333070	0.000000	0.340761	0.000000	0.098421	0.000000	0.196782	0.000000	0.096517	0.000000
707	DeepSeek-RRF	0.385655	0.052585	0.390975	0.050214	0.101566	0.003146	0.297690	0.100909	0.148732	0.052214
707	MiniLM	0.341528	0.008459	0.395284	0.054523	0.101734	0.003314	0.297690	0.100909	0.146009	0.049492
897	BM25	0.448074	0.000000	0.437129	0.000000	0.106483	0.000000	0.218997	0.000000	0.134194	0.000000
897	DeepSeek-RRF	0.506727	0.058653	0.478918	0.041789	0.098195	-0.008289	0.283627	0.064630	0.166514	0.032320
897	MiniLM	0.504315	0.056241	0.509977	0.072848	0.096110	-0.010373	0.283627	0.064630	0.167730	0.033536
