qid	relevant_total	BM25_hit@100	BM25_recall@100	BM25_miss@100	BM25_hit@1000	BM25_recall@1000	BM25_miss@1000	BM25_hit@5000	BM25_recall@5000	BM25_miss@5000	V2_hit@100	V2_recall@100	V2_miss@100	V2_hit@1000	V2_recall@1000	V2_miss@1000	V2_hit@5000	V2_recall@5000	V2_miss@5000	V3_hit@100	V3_recall@100	V3_miss@100	V3_hit@1000	V3_recall@1000	V3_miss@1000	V3_hit@5000	V3_recall@5000	V3_miss@5000
14	695	85	0.122302	610	170	0.244604	525	170	0.244604	525	71	0.102158	624	199	0.286331	496	306	0.440288	389	73	0.105036	622	200	0.287770	495	306	0.440288	389
31	925	98	0.105946	827	267	0.288649	658	267	0.288649	658	82	0.088649	843	285	0.308108	640	434	0.469189	491	84	0.090811	841	288	0.311351	637	434	0.469189	491
37	827	87	0.105200	740	136	0.164450	691	136	0.164450	691	69	0.083434	758	168	0.203144	659	269	0.325272	558	69	0.083434	758	167	0.201935	660	269	0.325272	558
58	516	94	0.182171	422	221	0.428295	295	221	0.428295	295	70	0.135659	446	237	0.459302	279	341	0.660853	175	73	0.141473	443	240	0.465116	276	341	0.660853	175
72	901	92	0.102109	809	269	0.298557	632	269	0.298557	632	76	0.084351	825	321	0.356271	580	471	0.522752	430	76	0.084351	825	324	0.359600	577	471	0.522752	430
84	701	80	0.114123	621	194	0.276748	507	194	0.276748	507	73	0.104137	628	199	0.283880	502	279	0.398003	422	75	0.106990	626	199	0.283880	502	279	0.398003	422
144	421	14	0.033254	407	47	0.111639	374	47	0.111639	374	29	0.068884	392	127	0.301663	294	271	0.643705	150	28	0.066508	393	137	0.325416	284	271	0.643705	150
161	687	87	0.126638	600	218	0.317322	469	218	0.317322	469	77	0.112082	610	285	0.414847	402	470	0.684134	217	80	0.116448	607	289	0.420670	398	470	0.684134	217
200	494	29	0.058704	465	64	0.129555	430	64	0.129555	430	27	0.054656	467	85	0.172065	409	147	0.297571	347	28	0.056680	466	88	0.178138	406	147	0.297571	347
213	173	17	0.098266	156	54	0.312139	119	54	0.312139	119	37	0.213873	136	106	0.612717	67	133	0.768786	40	37	0.213873	136	108	0.624277	65	133	0.768786	40
219	580	58	0.100000	522	98	0.168966	482	98	0.168966	482	42	0.072414	538	112	0.193103	468	188	0.324138	392	43	0.074138	537	112	0.193103	468	188	0.324138	392
224	653	88	0.134763	565	174	0.266462	479	174	0.266462	479	70	0.107198	583	218	0.333844	435	368	0.563553	285	72	0.110260	581	219	0.335375	434	368	0.563553	285
225	555	79	0.142342	476	292	0.526126	263	292	0.526126	263	61	0.109910	494	269	0.484685	286	388	0.699099	167	62	0.111712	493	270	0.486486	285	388	0.699099	167
233	787	68	0.086404	719	208	0.264295	579	208	0.264295	579	77	0.097840	710	292	0.371029	495	468	0.594663	319	79	0.100381	708	295	0.374841	492	468	0.594663	319
273	330	50	0.151515	280	90	0.272727	240	90	0.272727	240	41	0.124242	289	115	0.348485	215	155	0.469697	175	41	0.124242	289	115	0.348485	215	155	0.469697	175
300	635	74	0.116535	561	137	0.215748	498	137	0.215748	498	62	0.097638	573	192	0.302362	443	272	0.428346	363	64	0.100787	571	194	0.305512	441	272	0.428346	363
407	296	37	0.125000	259	76	0.256757	220	76	0.256757	220	28	0.094595	268	79	0.266892	217	101	0.341216	195	28	0.094595	268	80	0.270270	216	101	0.341216	195
477	525	53	0.100952	472	146	0.278095	379	146	0.278095	379	46	0.087619	479	173	0.329524	352	266	0.506667	259	48	0.091429	477	173	0.329524	352	266	0.506667	259
499	609	85	0.139573	524	340	0.558292	269	340	0.558292	269	72	0.118227	537	373	0.612479	236	512	0.840722	97	73	0.119869	536	376	0.617406	233	512	0.840722	97
515	414	9	0.021739	405	25	0.060386	389	25	0.060386	389	18	0.043478	396	85	0.205314	329	191	0.461353	223	19	0.045894	395	86	0.207729	328	191	0.461353	223
707	586	52	0.088737	534	107	0.182594	479	107	0.182594	479	51	0.087031	535	168	0.286689	418	337	0.575085	249	53	0.090444	533	178	0.303754	408	337	0.575085	249
897	674	82	0.121662	592	160	0.237389	514	160	0.237389	514	69	0.102374	605	206	0.305638	468	324	0.480712	350	71	0.105341	603	202	0.299703	472	324	0.480712	350
